#timestamp total_workers_connected workers_init workers_idle workers_busy total_workers_joined total_workers_removed tasks_waiting tasks_running tasks_complete total_tasks_dispatched total_tasks_complete total_tasks_cancelled start_time total_send_time total_receive_time total_bytes_sent total_bytes_received efficiency idle_percentage capacity bandwidth total_cores total_memory total_disk total_gpus min_cores max_cores min_memory max_memory min_disk max_disk min_gpus max_gpus total_execute_time total_good_execute_time 
1461796313711481 71 0 71 0 73 2 192 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961818 10 1.000000 69 1111244 13584428 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796313711888 71 0 70 1 73 2 191 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961810 10 1.000000 69 1111244 13584428 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796313712070 71 0 71 0 73 2 191 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961807 10 1.000000 69 1111244 13584428 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796313712494 71 0 70 1 73 2 190 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961799 10 1.000000 69 1111244 13694288 3 18446744073709551615 1 18446744073709551615 57795 0 1778038 18446744073709551615 4 0 0 
1461796313712667 71 0 71 0 73 2 190 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961795 10 1.000000 69 1111244 13694288 3 18446744073709551615 1 18446744073709551615 57795 0 1778038 18446744073709551615 4 0 0 
1461796313713066 71 0 70 1 73 2 189 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961788 10 1.000000 69 1134106 13694288 3 18446744073709551615 1 0 57795 0 1778038 18446744073709551615 4 0 0 
1461796313713233 71 0 71 0 73 2 189 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961784 10 1.000000 69 1134106 13694288 3 18446744073709551615 1 0 57795 0 1778038 18446744073709551615 4 0 0 
1461796313713656 71 0 70 1 73 2 188 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961776 10 1.000000 69 1134106 13694288 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
1461796313713823 71 0 71 0 73 2 188 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961773 10 1.000000 69 1134106 13694288 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
1461796313714218 71 0 70 1 73 2 187 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961766 10 1.000000 69 1134106 13694288 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
1461796313714392 71 0 71 0 73 2 187 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961762 10 1.000000 69 1134106 13694288 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
1461796313714804 71 0 70 1 73 2 186 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961754 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313714971 71 0 71 0 73 2 186 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961751 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313715248 71 0 71 0 73 2 186 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961746 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313715528 71 0 70 1 73 2 185 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961740 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313715690 71 0 71 0 73 2 185 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961737 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313716120 71 0 70 1 73 2 184 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961729 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313716295 71 0 71 0 73 2 184 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961726 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313716695 71 0 70 1 73 2 183 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961718 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313716863 71 0 71 0 73 2 183 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961715 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313717280 71 0 70 1 73 2 182 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961707 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313717445 71 0 71 0 73 2 182 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961704 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313717842 71 0 70 1 73 2 181 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961696 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313718005 71 0 71 0 73 2 181 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961693 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313718415 71 0 70 1 73 2 180 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961685 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796313718588 71 0 71 0 73 2 180 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.961682 10 1.000000 71 1134106 13694288 4 0 1 0 57795 0 1778038 0 4 0 0 
1461796318497885 72 1 71 0 73 2 180 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965077 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318498266 72 1 70 1 74 2 179 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965070 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318498462 72 1 71 0 74 2 179 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965066 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318498996 72 1 70 1 74 2 178 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965057 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318499174 72 1 71 0 74 2 178 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965054 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318499657 72 0 72 0 74 2 178 0 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965049 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318499939 72 0 71 1 74 2 177 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965044 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318500107 72 0 72 0 74 2 177 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965041 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318500537 72 0 71 1 74 2 176 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965033 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318500705 72 0 72 0 74 2 176 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965030 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318501104 72 0 71 1 74 2 175 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965023 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318501276 72 0 72 0 74 2 175 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965020 10 1.000000 70 1134105 13694287 3 18446744073709551615 1 18446744073709551615 57795 18446744073709551615 1778038 18446744073709551615 4 0 0 
1461796318501686 72 0 71 1 74 2 174 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965013 10 1.000000 70 1134105 13809262 3 18446744073709551615 1 18446744073709551615 57795 0 1778038 18446744073709551615 4 0 0 
1461796318501854 72 0 72 0 74 2 174 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965010 10 1.000000 70 1134105 13809262 3 18446744073709551615 1 18446744073709551615 57795 0 1778038 18446744073709551615 4 0 0 
1461796318502256 72 0 71 1 74 2 173 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965003 10 1.000000 70 1143936 13809262 3 18446744073709551615 1 0 57795 0 1778038 18446744073709551615 4 0 0 
1461796318502419 72 0 72 0 74 2 173 0 1 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.965000 10 1.000000 70 1143936 13809262 3 18446744073709551615 1 0 57795 0 1778038 18446744073709551615 4 0 0 
1461796318502827 72 0 71 1 74 2 172 1 0 1337 0 0 1461796264685541 0 0 0 0 0.000000 0.964993 10 1.000000 70 1143936 13809262 4 18446744073709551615 1 0 57795 0 1778038 0 4 0 0 
